                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4903,                 3.4652,                 1.5241,                0.51049,                0.21225,                0.15445,                0.09502,                 1.4711,                 2.8278,                 1.6505,              0.0001738,              0.0001738,              0.0001738
                      2,                 1.5027,                 2.3653,                 1.5075,                0.64435,                 0.2366,                0.24916,                0.15699,                 1.4759,                 2.2375,                 1.5831,             0.00034599,             0.00034599,             0.00034599
                      3,                 1.4768,                 2.0973,                 1.4782,                0.49751,                0.27287,                0.23992,                0.14326,                 1.5118,                 2.3508,                 1.5711,             0.00051502,             0.00051502,             0.00051502
                      4,                 1.4701,                 2.0074,                 1.4741,                0.74819,                0.25861,                0.27232,                0.16576,                 1.4964,                 2.5588,                 1.5915,              0.0005118,              0.0005118,              0.0005118
                      5,                   1.43,                 1.8842,                 1.4403,                0.70001,                0.29425,                0.31925,                0.20343,                 1.4441,                 1.9573,                 1.5308,             0.00050706,             0.00050706,             0.00050706
                      6,                 1.4156,                 1.7956,                 1.4318,                0.62937,                 0.2746,                0.29895,                0.18828,                 1.4846,                 1.9874,                 1.5887,             0.00050233,             0.00050233,             0.00050233
                      7,                 1.3918,                 1.7168,                 1.4107,                0.64701,                0.31113,                0.33859,                0.21674,                 1.4425,                 1.8228,                 1.4754,              0.0004976,              0.0004976,              0.0004976
                      8,                 1.3746,                 1.6558,                 1.4012,                 0.6749,                 0.3538,                0.39437,                 0.2441,                  1.401,                 1.6703,                 1.5041,             0.00049286,             0.00049286,             0.00049286
                      9,                 1.3619,                 1.6213,                 1.3979,                0.65156,                0.34143,                0.39473,                0.23796,                 1.4165,                 1.8161,                 1.4924,             0.00048813,             0.00048813,             0.00048813
                     10,                 1.3643,                 1.5638,                 1.3846,                0.78769,                0.34994,                0.39952,                0.25116,                 1.3682,                 1.5961,                 1.4749,             0.00048339,             0.00048339,             0.00048339
